Scenario 2: Searching a domain with Bing results with pagination
  Tags: ['@javascript', '@a11y']
  Given  the following BingV7 Affiliates exist:
  When  I am on bar.gov's redesigned search page
  And  I search for "white house" in the redesigned search page
  Then  I should see exactly "20" web search results
  And  I should see "The White House"
  And  I should see "www.whitehouse.gov/"
  And  I should see "President Biden's Budget Topics: Reproductive Rights"
  And  I should be on page "1" of results
  And  I should see pagination
  And  I should see a link to the "Next" page
  And  I should not see a link to the "Previous" page
  When  I click on the "Next" page
  Then  I should see exactly "20" web search results
  And  I should be on page "2" of results
  And  I should see a link to the "Next" page
  And  I should see a link to the "Previous" page
  When  I search for "America" in the redesigned search page
  Then  I should be on page "1" of results
  And  I should see exactly "20" web search results
  And  I should see a link to the "Next" page
  And  I should not see a link to the "Previous" page
  And  I should see Powered by Bing

