Scenario 4: Adding a new product option with applying option value to all option values
  Tags: ['@no-api', '@ui', '@javascript']
  Given  the store is also available in "Polish (Poland)"
  When  I want to create a new product option
  And  I name it "T-Shirt size" in "English (United States)"
  And  I specify its code as "t_shirt_size"
  And  I add the "S" option value identified by "OV1" in "English (United States)"
  And  I apply the option value identified by 'OV1' in 'English (United States)' to all option values.
  And  I add the "M" option value identified by "OV2" in "English (United States)"
  And  I add it
  Then  I should be notified that it has been successfully created
  And  the product option "T-Shirt size" should appear in the registry
  And  this product option should have the "S" option value in "English (United States)" locale
  And  this product option should have the "S" option value in "Polish (Poland)" locale
  And  this product option should have the "M" option value in "English (United States)" locale
  But  this product option should not have the "M" option value in "Polish (Poland)" locale

