Scenario 3: Removing cart item which causes order shipping method recalculation
  Tags: ['@api', '@ui']
  Given  the store has "Paid" shipping category
  And  the store has "Free" shipping category
  And  product "T-Shirt banana" belongs to "Paid" shipping category
  And  the store has a product "T-Shirt small" priced at "$15.00"
  And  product "T-Shirt small" belongs to "Free" shipping category
  And  the store has "FedEx" shipping method with "$30.00" fee
  And  this shipping method requires at least one unit matches to "Paid" shipping category
  And  the store has "UPS" shipping method with "$0.00" fee
  And  this shipping method requires that all units match to "Free" shipping category
  And  I added product "T-Shirt banana" to the cart
  And  I added product "T-Shirt small" to the cart
  And  I removed product "T-Shirt banana" from the cart
  When  I see the summary of my cart
  Then  my cart shipping total should be "$0.00"

