Scenario 1: Creating a product with custom slugs
  Tags: ['@ui']
  Given  I want to create a new simple product
  When  I specify its code as "PUG_PUGGINTON_PLUSHIE"
  And  I set its price to "$100.00" for "United States" channel
  And  I set its price to "$100.00" for "United States" channel
  And  I name it "Pug Pugginton Plushie" in "English (United States)"
  And  I set its slug to "sir-pugginton" in "English (United States)"
  And  I name it "Pluszak Mops Mopsiński" in "Polish (Poland)"
  And  I set its slug to "pan-mopsinski" in "Polish (Poland)"
  And  I add it
  Then  the slug of the "Pug Pugginton Plushie" product should be "sir-pugginton" in the "English (United States)" locale
  And  the slug of the "Pug Pugginton Plushie" product should be "pan-mopsinski" in the "Polish (Poland)" locale

