Scenario 1: Add payments to a new batch
  Given  a vendor "Vendor A"
  And  an unpaid AP transaction with these values:
  When  I navigate the menu and select the item at "Cash & Banking > Vouchers > Payments"
  Then  I should see the Create New Batch screen
  When  I enter "2018-01-01" into "Batch Date"
  And  I enter "B-1001" into "Batch Number"
  And  I enter "Test Batch" into "Description"
  And  I press "Continue"
  Then  I should see the Filtering Payments screen
  And  I should see the title "Filtering Payments"
  When  I enter "1001" into "Start Source Numbering At"
  And  I select "2100--Accounts Payable" from the drop down "Account"
  And  I select "USD" from the drop down "Currency"
  And  I select "1060--Checking Account" from the drop down "Pay From"
  And  I press "Continue"
  Then  I should see the Payments Detail screen
  And  I expect to see the 'date_paid' value of '2018-01-01'
  And  I expect to see the 'account_info' value of '2100 -- Accounts Payable'
  And  I expect to see the 'cash_accno' value of '1060 -- Checking Account'
  And  I should see a payment line with these values:
  When  I select the payment line with these values:
  And  I update the page
  Then  I should see the Payments Detail screen
  And  I expect to see the 'grand_total' value of '100.00'
  And  I expect to see the 'grand_total_currency' value of 'USD'
  When  I press "Post"
  Then  I should see the Payment Batch Summary screen
  When  I press "Save Batch"
  Then  I should see the Filtering Payments screen

