Scenario 3: Add partial payment to an existing batch
  Given  a vendor "Vendor C"
  And  an unpaid AP transaction with these values:
  And  a payment batch with these properties:
  When  I navigate the menu and select the item at "Cash & Banking > Vouchers > Payments"
  Then  I should see the Create New Batch screen
  And  I should see a Batch with these values:
  When  I click on the Batch with Batch Number "B-1001"
  Then  I should see the Filtering Payments screen
  When  I enter "3001" into "Start Source Numbering At"
  And  I press "Continue"
  Then  I should see the Payments Detail screen
  When  I select the payment line with these values:
  And  I select "Some" on the payment line for "Vendor C"
  Then  I expect to see the Invoice Detail table for "Vendor C"
  And  I should see an invoice from "Vendor C" with these values:
  When  I enter "1.00" into "To Pay" for the invoice from "Vendor C" with these values:
  And  I update the page
  Then  I should see the Payments Detail screen
  And  I expect to see the 'grand_total' value of '1.00'
  And  I expect to see the 'grand_total_currency' value of 'USD'
  And  I expect to see the "Contact Total" of "1.00 USD" for "Vendor C"
  When  I press "Post"
  Then  I should see the Payment Batch Summary screen
  When  I press "Save Batch"
  Then  I should see the Filtering Payments screen

