Scenario 6: As a logged-in user I can open and close a building
  Given  I am logged with "michelle.dufour@example.ch" via OAuth client "JeMengage Mobile" with scope "jemarche_app"
  When  I send a "POST" request to "/api/v3/pap/buildings/2fbe7b02-944d-4abd-be3d-f9b2944917a9/events" with body:
  Then  the response status code should be 201
  And  the response should be in JSON
  And  the JSON should be equal to:
  When  I send a "GET" request to "/api/v3/pap/address/a0b9231b-9ff5-49b9-aa7a-1d28abbba32f"
  And  I wait 1 second
  Then  the response status code should be 200
  And  the response should be in JSON
  And  the JSON should be equal to:
  When  I send a "POST" request to "/api/v3/pap/buildings/2fbe7b02-944d-4abd-be3d-f9b2944917a9/events" with body:
  Then  the response status code should be 201
  And  the response should be in JSON
  And  the JSON should be equal to:
  When  I send a "GET" request to "/api/v3/pap/address/a0b9231b-9ff5-49b9-aa7a-1d28abbba32f"
  And  I wait 1 second
  Then  the response status code should be 200
  And  the response should be in JSON
  And  the JSON should be equal to:
  When  I send a "POST" request to "/api/v3/pap/buildings/2fbe7b02-944d-4abd-be3d-f9b2944917a9/events" with body:
  Then  the response status code should be 201
  And  the response should be in JSON
  And  the JSON should be equal to:
  When  I send a "GET" request to "/api/v3/pap/address/a0b9231b-9ff5-49b9-aa7a-1d28abbba32f"
  Then  the response status code should be 200
  And  the response should be in JSON
  And  the JSON should be equal to:

