Scenario 9: Update the SLES proxy key with synced base product
  Tags: ['@scc_credentials', '@susemanager', '@proxy', '@containerized_server', '@skip_if_transactional_server']
  When  I follow the left menu "Systems > Activation Keys"
  And  I follow "Proxy Key x86_64" in the content area
  And  I wait for child channels to appear
  And  I select the parent channel for the "proxy_nontransactional" from "selectedBaseChannel"
  And  I wait for child channels to appear
  And  I include the recommended child channels
  And  I wait until "ManagerTools-SLE15-Pool for x86_64 SP7" has been checked
  And  I check "SUSE-Manager-Proxy-5.1-Pool for x86_64"
  And  I check "SUSE-Manager-Proxy-5.1-Updates for x86_64"
  And  I click on "Update Activation Key"
  Then  I should see a "Activation key Proxy Key x86_64 has been modified" text

