Scenario 9: Upgrade a package through the UI
  When  I follow "States" in the content area
  And  I follow "Packages"
  And  I follow "Search"
  And  I should see a "Package States" text
  And  I list packages with "dummy"
  And  I wait until I see "andromeda-dummy" text
  Then  "andromeda-dummy-1.0" should be installed on "sle_minion"
  And  I change the state of "andromeda-dummy" to "Installed" and "Latest"
  Then  I should see a "1 Change" text
  And  I click save
  Then  I wait until I see "Package states have been saved." text
  And  I click apply
  And  I wait for "andromeda-dummy-2.0-1.1" to be installed on "sle_minion"

