Scenario 6: Install a package from this SSH tunnel minion
  Given  I am on the Systems overview page of this "ssh_minion"
  When  I follow "Software" in the content area
  And  I follow "Install"
  And  I enter "milkyway-dummy" as the filtered package name
  And  I click on the filter button
  And  I wait until I see "milkyway-dummy" text
  And  I check row with "milkyway-dummy" and arch of "ssh_minion"
  And  I click on "Install Packages"
  And  I click on "Confirm"
  Then  I should see a "1 package install has been scheduled for" text
  Then  I wait until event "Package Install/Upgrade scheduled" is completed

