Scenario 7: Add a test base channel for x86_64
  When  I follow the left menu "Software > Manage > Channels"
  And  I follow "Create Channel"
  And  I enter "Test-Base-Channel-x86_64" as "Channel Name"
  And  I enter "test-base-channel-x86_64" as "Channel Label"
  And  I select "None" from "Parent Channel"
  And  I select "x86_64" from "Architecture:"
  And  I enter "Test-Base-Channel-x86_64 channel for testing" as "Channel Summary"
  And  I enter "No more description for base channel." as "Channel Description"
  And  I click on "Create Channel"
  Then  I should see a "Channel Test-Base-Channel-x86_64 created." text

