Scenario 1: Retrieve the invoice  json list
  Tags: ['@createSchema']
  Given  I add Brand Authorization header
  When  I add "Accept" header equal to "application/json"
  And  I send a "GET" request to "invoices"
  Then  the response status code should be 200
  And  the response should be in JSON
  And  the header "Content-Type" should be equal to "application/json; charset=utf-8"
  And  the JSON should be equal to:



Scenario 2: Retrieve certain invoice  json
  Given  I add Brand Authorization header
  When  I add "Accept" header equal to "application/json"
  And  I send a "GET" request to "invoices/1"
  Then  the response status code should be 200
  And  the response should be in JSON
  And  the header "Content-Type" should be equal to "application/json; charset=utf-8"
  And  the JSON should be like:

